datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count
2012-07-15 7:00:00,3,0,0,1,28.7,33.335,79,6.0032,17,30,47
2012-08-14 15:00:00,3,0,1,1,33.62,37.88,46,15.0013,84,199,283
2011-02-06 6:00:00,1,0,0,1,10.66,12.88,60,15.0013,0,1,1
2012-05-06 17:00:02,2,0,0,2,26.42506031,30.56616608,61,9.512287721,198,330,531
2012-01-09 2:00:00,1,0,1,1,9.84,12.12,56,8.9981,2,3,5
2011-12-02 2:00:00,4,0,1,1,9.84,14.395,75,0,0,10,10
2012-02-12 4:00:00,1,0,0,2,4.1,2.275,46,47.9988,0,1,1
2011-12-15 8:00:00,4,0,1,2,13.94,15.91,66,15.0013,8,449,457
2011-02-05 10:00:00,1,0,0,3,8.2,10.605,100,8.9981,3,31,34
2011-05-01 11:00:01,2,0,0,1,18.48179919,22.64699762,83,7.776263559,104,162,212
2011-03-19 5:00:00,1,0,0,1,21.32,25,34,27.9993,0,2,2
2012-01-13 10:00:00,1,0,1,1,9.84,9.85,44,30.0026,2,101,103
2012-08-08 23:00:01,3,0,1,1,28.80642791,34.69792417,71,8.981757021,14,107,124
2011-04-06 13:00:00,2,0,1,1,18.86,22.725,38,32.9975,29,83,112
2011-04-04 6:00:00,2,0,1,1,17.22,21.21,58,19.0012,3,43,46
2011-10-12 12:00:00,4,0,1,3,22.14,25.76,88,22.0028,9,53,62
2012-09-10 20:00:00,3,0,1,1,24.6,31.06,40,12.998,34,356,390
2011-08-03 21:00:00,3,0,1,2,27.88,31.82,89,8.9981,7,81,88
2011-12-18 0:00:00,4,0,0,1,8.2,10.605,75,8.9981,7,64,71
2011-01-11 6:00:00,1,0,1,2,6.56,9.09,55,8.9981,0,27,27
2012-09-01 18:00:00,3,0,0,2,33.62,38.635,52,0,184,258,442
2011-02-11 17:00:00,1,0,1,1,12.3,16.665,24,0,18,193,211
2011-03-19 23:00:00,1,0,0,1,15.58,19.695,40,19.9995,13,37,50
2011-03-11 10:00:00,1,0,1,2,13.12,15.15,57,19.9995,18,60,78
